"filename", "language", "PHP", "SCSS", "JSON", "HTML", "XML", "CSS", "JavaScript", "Log", "JSON with Comments", "Markdown", "YAML", "WebAssembly Text Format", "G-Code", "comment", "blank", "total"
"c:\xampp\htdocs\Splint\lib\imageTracerJS\nodecli\READTHIS.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 10, 22
"c:\xampp\htdocs\Splint\lib\imageTracerJS\nodecli\nodecli.js", "JavaScript", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 13, 26, 88
"c:\xampp\htdocs\Splint\lib\imageTracerJS\options.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 46, 153
"c:\xampp\htdocs\Splint\lib\imageTracerJS\package.json", "JSON", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"c:\xampp\htdocs\Splint\lib\imageTracerJS\process_overview.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 18, 59
"c:\xampp\htdocs\Splint\lib\imageTracerJS\simplify_interop.html", "HTML", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 127
"c:\xampp\htdocs\Splint\lib\imageTracerJS\version_history.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 21, 75
"c:\xampp\htdocs\Splint\lib\require.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1306, 0, 0, 0, 0, 0, 0, 572, 268, 2146
"c:\xampp\htdocs\Splint\lib\threeJS\.github\CODE_OF_CONDUCT.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 20, 77
"c:\xampp\htdocs\Splint\lib\threeJS\.github\CONTRIBUTING.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 34, 89
"c:\xampp\htdocs\Splint\lib\threeJS\.github\FUNDING.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 4
"c:\xampp\htdocs\Splint\lib\threeJS\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 17, 48
"c:\xampp\htdocs\Splint\lib\threeJS\.github\ISSUE_TEMPLATE\config.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\xampp\htdocs\Splint\lib\threeJS\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 11, 27
"c:\xampp\htdocs\Splint\lib\threeJS\.github\pull_request_template.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 10
"c:\xampp\htdocs\Splint\lib\threeJS\.github\workflows\ci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 12, 102
"c:\xampp\htdocs\Splint\lib\threeJS\.lgtm.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 13
"c:\xampp\htdocs\Splint\lib\threeJS\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 28, 85
"c:\xampp\htdocs\Splint\lib\threeJS\build\three.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 27970, 0, 0, 0, 0, 0, 0, 1198, 6881, 36049
"c:\xampp\htdocs\Splint\lib\threeJS\build\three.js", "JavaScript", 0, 0, 0, 0, 0, 0, 27975, 0, 0, 0, 0, 0, 0, 1198, 6882, 36055
"c:\xampp\htdocs\Splint\lib\threeJS\build\three.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 1, 7
"c:\xampp\htdocs\Splint\lib\threeJS\build\three.module.js", "JavaScript", 0, 0, 0, 0, 0, 0, 27319, 0, 0, 0, 0, 0, 0, 2061, 20390, 49770
"c:\xampp\htdocs\Splint\lib\threeJS\build\three.module.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\xampp\htdocs\Splint\lib\threeJS\docs\api\CONTRIBUTING.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\xampp\htdocs\Splint\lib\threeJS\docs\api\ar\animation\AnimationAction.html", "HTML", 0, 0, 0, 237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 317
"c:\xampp\htdocs\Splint\lib\threeJS\docs\api\ar\animation\AnimationClip.html", "HTML", 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 135
"c:\xampp\htdocs\Splint\lib\threeJS\docs\api\ar\animation\AnimationMixer.html", "HTML", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 110
"c:\xampp\htdocs\Splint\lib\threeJS\docs\api\ar\animation\AnimationObjectGroup.html", "HTML", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 88
"c:\xampp\htdocs\Splint\lib\threeJS\docs\api\ar\animation\AnimationUtils.html", "HTML", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 68
"c:\xampp\htdocs\Splint\lib\threeJS\docs\api\ar\animation\KeyframeTrack.html", "HTML", 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 222
"c:\xampp\htdocs\Splint\lib\threeJS\docs\api\ar\animation\PropertyBinding.html", "HTML", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 133
"c:\xampp\htdocs\Splint\lib\threeJS\docs\api\ar\animation\PropertyMixer.html", "HTML", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 99
"c:\xampp\htdocs\Splint\lib\threeJS\docs\api\ar\animation\tracks\BooleanKeyframeTrack.html", "HTML", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 80
"c:\xampp\htdocs\Splint\lib\threeJS\docs\api\ar\animation\tracks\ColorKeyframeTrack.html", "HTML", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 63
"c:\xampp\htdocs\Splint\lib\threeJS\docs\api\ar\animation\tracks\NumberKeyframeTrack.html", "HTML", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 64
"c:\xampp\htdocs\Splint\lib\threeJS\docs\api\ar\animation\tracks\QuaternionKeyframeTrack.html", "HTML", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 75
"c:\xampp\htdocs\Splint\lib\threeJS\docs\api\ar\animation\tracks\StringKeyframeTrack.html", "HTML", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 83
"c:\xampp\htdocs\Splint\lib\threeJS\docs\api\ar\animation\tracks\VectorKeyframeTrack.html", "HTML", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 63
"c:\xampp\htdocs\Splint\lib\threeJS\docs\api\ar\audio\Audio.html", "HTML", 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 231
"c:\xampp\htdocs\Splint\lib\threeJS\docs\api\ar\audio\AudioAnalyser.html", "HTML", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 98
"c:\xampp\htdocs\Splint\lib\threeJS\docs\api\ar\audio\AudioContext.html", "HTML", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 43
"c:\xampp\htdocs\Splint\lib\threeJS\docs\api\ar\audio\AudioListener.html", "HTML", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 112
"c:\xampp\htdocs\Splint\lib\threeJS\docs\api\ar\audio\PositionalAudio.html", "HTML", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 137
"c:\xampp\htdocs\Splint\lib\threeJS\docs\api\ar\cameras\ArrayCamera.html", "HTML", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 54
"c:\xampp\htdocs\Splint\lib\threeJS\docs\api\ar\cameras\Camera.html", "HTML", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 84
